Date,ADR,Occupancy
2020-11-23,144.0666981,52.5115995
2020-11-24,139.3555926,53.7301211
2020-11-25,139.7068372,52.3610975
2020-11-26,139.6838088,52.8666525
2020-11-27,141.145704,56.2427039
2020-11-28,137.5304552,53.9933661
2020-11-29,140.4835734,56.3028945
2020-11-30,140.4832305,53.1366099
2020-12-01,140.4680639,47.3237385
2020-12-02,140.2197536,46.2658086
2020-12-03,141.0413988,49.9371314
2020-12-04,138.2287814,59.6980137
2020-12-05,139.9545541,54.9986938
2020-12-06,141.422678,53.8387938
2020-12-07,141.5829306,43.875383
2020-12-08,141.3510038,47.8966814
2020-12-09,141.5328448,51.5240268
2020-12-10,143.9762347,50.816243
2020-12-11,145.7143516,50.6353562
2020-12-12,145.0358264,54.982236
2020-12-13,146.164857,55.0415928
2020-12-14,147.2690675,48.6197937
2020-12-15,147.0895954,50.0754922
2020-12-16,147.3465882,52.0923747
2020-12-17,146.1863169,56.4110749
2020-12-18,147.0137753,63.2141977
2020-12-19,156.5296607,65.5462515
2020-12-20,157.7642388,63.423828
2020-12-21,163.8495042,67.3906975
2020-12-22,159.0171148,66.8593808
2020-12-23,166.5545567,66.7523116
2020-12-24,157.6861696,67.1215335
2020-12-25,157.64368,69.66448
2020-12-26,164.018042,72.80366
2020-12-27,178.4809816,72.6486559
2020-12-28,177.5106102,73.5258515
2020-12-29,173.6372604,71.8652277
2020-12-30,179.3499087,74.3187198
2020-12-31,183.3680473,76.2433176
2021-01-01,175.5128193,74.8171483
2021-01-02,172.2043293,71.7132382
2021-01-03,172.9097691,69.8203488
2021-01-04,160.1679141,66.7313217
2021-01-05,156.4306643,59.9322169
2021-01-06,160.8105836,61.3423229
2021-01-07,162.7831998,69.1900226
2021-01-08,160.7703028,60.4371796
2021-01-09,161.3369183,60.292449
2021-01-10,154.8023741,50.9780868
2021-01-11,150.5402309,46.13845
